gene,ESR,chromosome,start,end,size,GC%,strand,ortholog code1,ortholog code2,ortholog species,expression on glucose,average log2FC,annotation
SAKL0D07260g,negative,4,597979,599709,1731,43.21,1,YJL069C,UTP18,Sace,11.331144,-0.5800629,"similar to |P40362 Saccharomyces cerevisiae YJL069C UTP18 Possible U3 snoRNP protein involved in maturation of pre-18S rRNA, based on computational analysis of large- scale protein-protein interaction data"
SAKL0D07304g,negative,4,600969,602505,1537,45.01,-1,YBR283C,SSH1,Sace,13.340958,-0.3377379,highly similar to |P38353 Saccharomyces cerevisiae YBR283C SSH1 Subunit of the Ssh1 translocon complex; Sec61p homolog involved in co-translational pathway of protein translocation; not essential
SAKL0D07612g,negative,4,624385,626778,2394,40.02,1,YFR013W,IOC3,Sace,9.723005,-0.2051678,"similar to |P43596 Saccharomyces cerevisiae YFR013W (ohnolog of YOL017W) IOC3 Member of a complex (Isw1a) with Isw1p that has nucleosome-stimulated ATPase activity and represses transcription initiation by specific positioning of a promoter proximal dinucleosome; has homology to Esc8p, which is involved in silencing"
SAKL0D08096g,negative,4,674709,675611,903,43.63,-1,YLR172C,DPH5,Sace,11.766959,-0.5104698,"highly similar to |P32469 Saccharomyces cerevisiae YLR172C DPH5 Methyltransferase required for synthesis of diphthamide, which is a modified histidine residue of translation elongation factor 2 (Eft1p or Eft2p); not essential for viability; GFP-Dph5p fusion protein localizes to the cytoplasm"
SAKL0D08316g,negative,4,695101,698235,3135,44.88,1,YNL014W,HEF3,Sace,16.875971,-0.3357279,highly similar to |P53978 Saccharomyces cerevisiae YNL014W (ohnolog of YLR249W) HEF3 Translational elongation factor EF-3; paralog of YEF3 and member of the ABC superfamily; stimulates EF-1 alpha-dependent binding of aminoacyl-tRNA by the ribosome; normally expressed in zinc deficient cells
SAKL0D08712g,negative,4,724741,725679,939,40.36,-1,YNL002C,RLP7,Sace,11.510685,-0.7244344,highly similar to |P40693 Saccharomyces cerevisiae YNL002C RLP7 Nucleolar protein with similarity to large ribosomal subunit L7 proteins; constituent of 66S pre- ribosomal particles; plays an essential role in processing of precursors to the large ribosomal subunit RNAs
SAKL0D08734g,negative,4,726095,728581,2487,43.1,1,YLR176C,RFX1,Sace,10.705956,-0.6161969,"weakly similar to |P48743 Saccharomyces cerevisiae YLR176C RFX1 Major transcriptional repressor of DNA-damage- regulated genes, recruits repressors Tup1p and Cyc8p to their promoters; involved in DNA damage and replication checkpoint pathway; similar to a family of mammalian DNA binding RFX1-4 proteins"
SAKL0D08800g,negative,4,732221,733960,1740,39.14,-1,Con_hy_pr112,Con_hy_pr112,Klla,9.565328,-0.6375703,similar to |Q6CK82 Kluyveromyces lactis hypothetical protein
SAKL0D09108g,negative,4,750336,751793,1458,42.39,1,YLR175W,CBF5,Sace,13.891332,-0.4949656,"highly similar to |P33322 Saccharomyces cerevisiae YLR175W CBF5 Pseudouridine synthase catalytic subunit of box H/ACA small nucleolar ribonucleoprotein particles (snoRNPs), acts on both large and small rRNAs and on snRNA U2; mutations in human ortholog dyskerin cause the disorder dyskeratosis congenita"
SAKL0D09372g,negative,4,778946,779887,942,39.38,-1,YNR003C,RPC34,Sace,10.497721,-0.3663497,highly similar to |P32910 Saccharomyces cerevisiae YNR003C RPC34 RNA polymerase III subunit C34; interacts with TFIIIB70 and is a key determinant in pol III recruitment by the preinitiation complex
SAKL0D09768g,negative,4,811148,812830,1683,43.55,-1,YHR019C,DED81,Sace,13.345546,-0.3594532,"highly similar to |P38707 Saccharomyces cerevisiae YHR019C DED81 Cytosolic asparaginyl-tRNA synthetase, required for protein synthesis, catalyzes the specific attachment of asparagine to its cognate tRNA"
SAKL0D09812g,negative,4,815252,817276,2025,42.37,1,YHR020W,YHR020W,Sace,13.109791,-0.4539443,"highly similar to |P38708 Saccharomyces cerevisiae YHR020W  Protein of unknown function that may interact with ribosomes, based on co-purification experiments; has similarity to proline-tRNA ligase; YHR020W is an essential gene"
SAKL0D10186g,negative,4,852301,855267,2967,42.06,1,YOL021C,DIS3,Sace,11.783045,-0.2682533,highly similar to |Q08162 Saccharomyces cerevisiae YOL021C DIS3 Exosome core complex catalytic subunit; possesses both endonuclease and 3'-5' exonuclease activity; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase R and to human DIS3
SAKL0D10208g,negative,4,855376,857634,2259,39.35,-1,YFR009W,GCN20,Sace,12.216435,-0.3079892,"highly similar to |P43535 Saccharomyces cerevisiae YFR009W GCN20 Positive regulator of the Gcn2p kinase activity, forms a complex with Gcn1p; proposed to stimulate Gcn2p activation by an uncharged tRNA"
SAKL0D10252g,negative,4,857983,859260,1278,40.14,1,YOL022C,TSR4,Sace,10.629331,-0.4125918,similar to |P25040 Saccharomyces cerevisiae YOL022C TSR4 Cytoplasmic protein required for correct processing of the 20S pre-rRNA at site D to generate mature 18S rRNA; essential gene in S288C background but not in CEN.PK2
SAKL0D10428g,negative,4,872377,873174,798,44.61,1,YCR016W,YCR016W,Sace,10.085465,-0.5837576,similar to |P25617 Saccharomyces cerevisiae YCR016W Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus and nucleus; predicted to be involved in ribosome biogenesis
SAKL0D11110g,negative,4,920628,921926,1299,38.8,1,YJR032W,CPR7,Sace,10.708432,-0.3301459,"similar to |P47103 Saccharomyces cerevisiae YJR032W CPR7 Peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N- terminal to proline residues; binds to Hsp82p and contributes to chaperone activity"
SAKL0D11330g,negative,4,945636,946019,384,42.97,-1,YEL026W,SNU13,Sace,13.705471,-0.5065136,"highly similar to |P39990 Saccharomyces cerevisiae YEL026W SNU13 RNA binding protein, part of U3 snoRNP involved in rRNA processing, part of U4/U6-U5 tri- snRNP involved in mRNA splicing, similar to human 15.5K protein"
SAKL0D11374g,negative,4,949746,953210,3465,36.36,-1,YJR041C,URB2,Sace,10.960188,-0.4749169,"similar to |P47108 Saccharomyces cerevisiae YJR041C URB2 Nucleolar protein required for normal metabolism of the rRNA primary transcript, proposed to be involved in ribosome biogenesis"
SAKL0D11396g,negative,4,953468,955684,2217,40.51,1,YJR042W,NUP85,Sace,11.2219,-0.2076902,similar to |P46673 Saccharomyces cerevisiae YJR042W NUP85 Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC); required for assembly of the subcomplex and also for formation of the nucleocytoplasmic Gsp1p concentration gradient that plays a role in nuclear trafficking; the Nup84 subcomplex has a role in transcription elongation
SAKL0D12760g,negative,4,1063146,1063523,378,44.44,1,YJR063W,RPA12,Sace,10.988854,-0.5432845,"highly similar to |P32529 Saccharomyces cerevisiae YJR063W RPA12 RNA polymerase I subunit A12.2; contains two zinc binding domains, and the N terminal domain is responsible for anchoring to the RNA pol I complex"
SAKL0D12958g,negative,4,1085465,1086433,969,42,-1,YJR070C,LIA1,Sace,12.61945,-0.5738946,"highly similar to |P47120 Saccharomyces cerevisiae YJR070C LIA1 Deoxyhypusine hydroxylase, a HEAT- repeat containing metalloenzyme that catalyzes hypusine formation; binds to and is required for the modification of Hyp2p (eIF5A); complements S. pombe mmd1 mutants defective in mitochondrial positioning"
SAKL0D13376g,negative,4,1107713,1109152,1440,39.79,1,YMR014W,BUD22,Sace,11.120896,-0.5459636,"similar to |Q04347 Saccharomyces cerevisiae YMR014W BUD22 Protein required for 18S rRNA maturation and small ribosomal subunit biogenesis; cosediments with pre- ribosomal particles; mutation decreases efficiency of +1 Ty1 frameshifting and transposition, and affects budding pattern"
SAKL0D13992g,negative,4,1151303,1151806,504,43.85,-1,YKL056C,TMA19,Sace,15.322154,-0.3130918,highly similar to |P35691 Saccharomyces cerevisiae YKL056C TMA19 Protein that associates with ribosomes; homolog of translationally controlled tumor protein; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and relocates to the mitochondrial outer surface upon oxidative stress
SAKL0D14432g,negative,4,1184141,1186351,2211,42.74,-1,YOR361C,PRT1,Sace,13.038319,-0.4559269,"similar to |P06103 Saccharomyces cerevisiae YOR361C PRT1 eIF3b subunit of the core complex of translation initiation factor 3 (eIF3), essential for translation; part of a subcomplex (Prt1p-Rpg1p-Nip1p) that stimulates binding of mRNA and tRNA(i)Met to ribosomes"
SAKL0D14696g,negative,4,1209574,1210005,432,45.37,-1,YOR369C,RPS12,Sace,15.992724,-0.4447495,highly similar to |P48589 Saccharomyces cerevisiae YOR369C RPS12 Protein component of the small (40S) ribosomal subunit; has similarity to rat ribosomal protein S12
SAKL0D14850g,negative,4,1224311,1224847,537,41.9,-1,YAL059W,ECM1,Sace,10.223641,-0.4324262,similar to |P39715 Saccharomyces cerevisiae YAL059W ECM1 Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre- 60S particle; shuttles between the nucleus and cytoplasm
SAKL0E00660g,negative,5,42779,43747,969,41.38,-1,YPL266W,DIM1,Sace,10.809669,-0.6037849,"highly similar to uniprot|P41819 Saccharomyces cerevisiae YPL266W DIM1 Essential 18S rRNA dimethylase (dimethyladenosine transferase), responsible for conserved m6(2)Am6(2)A dimethylation in 3'-terminal loop of 18S rRNA, part of 90S and 40S pre-particles in nucleolus, involved in pre-ribosomal RNA processing"
SAKL0E00770g,negative,5,53894,57037,3144,39.28,1,YEL055C,POL5,Sace,11.068482,-0.4935976,"similar to uniprot|P39985 Saccharomyces cerevisiae YEL055C POL5 DNA Polymerase phi; has sequence similarity to the human MybBP1A and weak sequence similarity to B- type DNA polymerases, not required for chromosomal DNA replication; required for the synthesis of rRNA"
SAKL0E00814g,negative,5,59724,60920,1197,41.85,-1,YEL056W,HAT2,Sace,9.913178,-0.2774302,"similar to uniprot|P39984 Saccharomyces cerevisiae YEL056W HAT2 Subunit of the Hat1p-Hat2p histone acetyltransferase complex; required for high affinity binding of the complex to free histone H4, thereby enhancing Hat1p activity; similar to human RbAp46 and 48; has a role in telomeric silencing"
SAKL0E00880g,negative,5,66646,68556,1911,41.5,-1,YPL263C,KEL3,Sace,10.729209,-0.5540208,similar to uniprot|Q08979 Saccharomyces cerevisiae YPL263C KEL3 Cytoplasmic protein of unknown function
SAKL0E01056g,negative,5,79518,80327,810,43.21,1,YOR004W,UTP23,Sace,11.085472,-0.4736864,"similar to uniprot|Q12339 Saccharomyces cerevisiae YOR004W UTP23 Essential nucleolar protein that is a component of the SSU (small subunit) processome involved in 40S ribosomal subunit biogenesis; has homology to PINc domain protein Fcf1p, although the PINc domain of Utp23p is not required for function"
SAKL0E01452g,negative,5,108911,111124,2214,38.84,1,YOR001W,RRP6,Sace,11.572503,-0.4560316,"similar to uniprot|Q12149 Saccharomyces cerevisiae YOR001W RRP6 Nuclear exosome exonuclease component; has 3'- 5' exonuclease activity; involved in RNA processing, maturation, surveillance, degradation, tethering, and export; has similarity to E. coli RNase D and to human PM- Sc1 100 (EXOSC10); mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay"
SAKL0E01760g,negative,5,134853,135956,1104,41.85,-1,YOL010W,RCL1,Sace,10.788659,-0.6747546,highly similar to uniprot|Q08096 Saccharomyces cerevisiae YOL010W RCL1 Subunit of U3-containing 90S preribosome processome complex involved in 18S rRNA biogenesis and small ribosomal subunit assembly; stimulates Bms1p GTPase and U3 binding activity; similar to RNA cyclase-like proteins but no activity detected
SAKL0E02134g,negative,5,162366,164771,2406,41.15,-1,YOR168W,GLN4,Sace,12.109012,-0.3111797,"highly similar to uniprot|P13188 Saccharomyces cerevisiae YOR168W GLN4 Glutamine tRNA synthetase, monomeric class I tRNA synthetase that catalyzes the specific glutaminylation of tRNA(Glu); N-terminal domain proposed to be involved in enzyme-tRNA interactions"
SAKL0E02178g,negative,5,168616,169025,410,47.55,1,YOR167C,RPS28A,Sace,14.866164,-0.4316593,some similarities with uniprot|Q3E7X9 Saccharomyces cerevisiae YOR167C (ohnolog of YLR264W) RPS28A Protein component of the small (40S) ribosomal subunit; nearly identical to Rps28Bp and has similarity to rat S28 ribosomal protein
SAKL0E02288g,negative,5,177767,178483,717,40.59,-1,YKL009W,MRT4,Sace,12.474329,-0.7690943,"highly similar to uniprot|P33201 Saccharomyces cerevisiae YKL009W MRT4 Protein involved in mRNA turnover and ribosome assembly, localizes to the nucleolus"
SAKL0E02552g,negative,5,203607,206615,3009,42.37,-1,YMR080C,NAM7,Sace,11.912187,-0.2042884,highly similar to uniprot|P30771 Saccharomyces cerevisiae YMR080C NAM7 ATP-dependent RNA helicase of the SFI superfamily involved in nonsense mediated mRNA decay; required for efficient translation termination at nonsense codons and targeting of NMD substrates to P-bodies; involved in telomere maintenance
SAKL0E02794g,negative,5,222399,223160,762,40.94,1,YKL099C,UTP11,Sace,9.889452,-0.5721182,highly similar to uniprot|P34247 Saccharomyces cerevisiae YKL099C UTP11 Subunit of U3-containing Small Subunit (SSU) processome complex involved in production of 18S rRNA and assembly of small ribosomal subunit
SAKL0E02948g,negative,5,241417,242688,1272,43.55,-1,YKL106W,AAT1,Sace,11.001111,-0.4477349,"similar to uniprot|Q01802 Saccharomyces cerevisiae YKL106W AAT1 Mitochondrial aspartate aminotransferase, catalyzes the conversion of oxaloacetate to aspartate in aspartate and asparagine biosynthesis"
SAKL0E03080g,negative,5,253337,254884,1548,42.57,1,YMR093W,UTP15,Sace,11.410599,-0.518834,"highly similar to uniprot|Q04305 Saccharomyces cerevisiae YMR093W UTP15 Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA"
SAKL0E03234g,negative,5,263521,264489,969,40.25,1,YKL110C,KTI12,Sace,10.397797,-0.4841527,"similar to uniprot|P34253 Saccharomyces cerevisiae YKL110C KTI12 Protein that plays a role, with Elongator complex, in modification of wobble nucleosides in tRNA; involved in sensitivity to G1 arrest induced by zymocin; interacts with chromatin throughout the genome; also interacts with Cdc19p"
SAKL0E03300g,negative,5,269418,270563,1146,51.57,1,YKL113C,RAD27,Sace,9.963106,-0.2465382,"highly similar to uniprot|P26793 Saccharomyces cerevisiae YKL113C RAD27 5' to 3' exonuclease, 5' flap endonuclease, required for Okazaki fragment processing and maturation as well as for long-patch base-excision repair; member of the S. pombe RAD2/FEN1 family"
SAKL0E03960g,negative,5,319707,320884,1178,46.83,-1,YMR116C,ASC1,Sace,16.025927,-0.3823116,highly similar to uniprot|P38011 Saccharomyces cerevisiae YMR116C ASC1 G-protein beta subunit and guanine nucleotide dissociation inhibitor for Gpa2p; ortholog of RACK1 that inhibits translation; core component of the small (40S) ribosomal subunit; represses Gcn4p in the absence of amino acid starvation
SAKL0E04356g,negative,5,346183,346797,615,44.23,-1,YMR121C,RPL15B,Sace,15.812971,-0.5417979,"highly similar to uniprot|P54780 Saccharomyces cerevisiae YMR121C (ohnolog of YLR029C) RPL15B Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl15Ap and has similarity to rat L15 ribosomal protein; binds to 5.8 S rRNA"
SAKL0E04532g,negative,5,364157,367978,3822,40.11,1,YMR128W,ECM16,Sace,10.936117,-0.5496782,"highly similar to uniprot|Q04217 Saccharomyces cerevisiae YMR128W ECM16 Essential DEAH-box ATP-dependent RNA helicase specific to the U3 snoRNP, predominantly nucleolar in distribution, required for 18S rRNA synthesis"
SAKL0E05060g,negative,5,413500,413817,318,49.37,1,YDL081C,RPP1A,Sace,15.269651,-0.2963683,"highly similar to uniprot|P05318 Saccharomyces cerevisiae YDL081C RPP1A Ribosomal stalk protein P1 alpha, involved in the interaction between translational elongation factors and the ribosome; accumulation of P1 in the cytoplasm is regulated by phosphorylation and interaction with the P2 stalk component"
SAKL0E05082g,negative,5,414252,415235,984,45.16,-1,RPL13,RPL13,Lakl,15.711387,-0.4134404,uniprot|Q875Q4 Lachancea kluyveri SAKL0E05082g RPL13 Protein component of the large (60S) ribosomal subunit
SAKL0E05104g,negative,5,416357,417210,854,44.21,1,RPS16,RPS16,Lakl,15.613039,-0.3908949,uniprot|Q875Q3 Lachancea kluyveri SAKL0E05104g RPS16 Protein component of the small (40S) ribosomal subunit
SAKL0E05148g,negative,5,419900,421296,1397,41.59,-1,YDL084W,SUB2,Sace,13.937664,-0.2837034,highly similar to uniprot|Q07478 Saccharomyces cerevisiae YDL084W SUB2 Component of the TREX complex required for nuclear mRNA export; member of the DEAD-box RNA helicase superfamily and is involved in early and late steps of spliceosome assembly; homolog of the human splicing factor hUAP56
SAKL0E05368g,negative,5,444629,445678,1050,46,-1,YMR146C,TIF34,Sace,13.189509,-0.4051868,"highly similar to uniprot|P40217 Saccharomyces cerevisiae YMR146C TIF34 eIF3i subunit of the core complex of translation initiation factor 3 (eIF3), which is essential for translation; stimulates rate of ribosomal scanning during translation reinitiation"
SAKL0E06666g,negative,5,542729,543520,792,42.93,1,YDL111C,RRP42,Sace,10.477621,-0.2060858,highly similar to uniprot|Q12277 Saccharomyces cerevisiae YDL111C RRP42 Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp42p (EXOSC7)
SAKL0E06688g,negative,5,543876,548171,4296,38.15,-1,YDL112W,TRM3,Sace,10.849197,-0.2674608,"similar to uniprot|Q7LGS3 Saccharomyces cerevisiae YDL112W TRM3 2'-O-ribose methyltransferase, catalyzes the ribose methylation of the guanosine nucleotide at position 18 of tRNAs"
SAKL0E06776g,negative,5,553434,554009,576,41.84,1,YNL067W,RPL9B,Sace,15.686552,-0.4725818,"highly similar to uniprot|P51401 Saccharomyces cerevisiae YNL067W RPL9B Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl9Ap and has similarity to E. coli L6 and rat L9 ribosomal proteins"
SAKL0E06798g,negative,5,554533,556704,2172,38.31,-1,YDL116W,NUP84,Sace,11.114942,-0.2013015,"similar to uniprot|P52891 Saccharomyces cerevisiae YDL116W NUP84 Subunit of the nuclear pore complex (NPC); forms a subcomplex with Nup85p, Nup120p, Nup145p-C, Sec13p, and Seh1p that plays a role in nuclear mRNA export, and NPC biogenesis; required also for transcription elongation as demonstrated by the G-less- based run-on (GLRO) assay"
SAKL0E06820g,negative,5,556959,559676,2718,40.58,-1,YDL117W,CYK3,Sace,10.46757,-0.2891116,similar to uniprot|Q07533 Saccharomyces cerevisiae YDL117W CYK3 SH3-domain protein located in the mother-bud neck and the cytokinetic actin ring; mutant phenotype and genetic interactions suggest a role in cytokinesis
SAKL0E07128g,negative,5,587415,588620,1206,45.94,-1,YNL016W,PUB1,Sace,13.129905,-0.4476357,"similar to uniprot|P32588 Saccharomyces cerevisiae YNL016W PUB1 Poly (A)+ RNA-binding protein, abundant mRNP- component protein that binds mRNA and is required for stability of many mRNAs; component of glucose deprivation induced stress granules, involved in P-body-dependent granule assembly"
SAKL0E07546g,negative,5,610978,613134,2157,39.08,1,YIL091C,UTP25,Sace,10.909311,-0.6421155,highly similar to uniprot|P40498 Saccharomyces cerevisiae YIL091C UTP25 Nucleolar protein required for 35S pre-RNA processing and 40S ribosomal subunit biogenesis; contains a DEAD-box RNA helicase-like motif
SAKL0E07634g,negative,5,616443,619367,2925,42.36,-1,YNL023C,FAP1,Sace,9.894839,-0.2017547,"similar to uniprot|P53971 Saccharomyces cerevisiae YNL023C FAP1 Protein that binds to Fpr1p, conferring rapamycin resistance by competing with rapamycin for Fpr1p binding; accumulates in the nucleus upon treatment of cells with rapamycin; has similarity to D. melanogaster shuttle craft and human NFX1"
SAKL0E07678g,negative,5,621182,622615,1434,41.14,-1,YNL022C,YNL022C,Sace,10.112863,-0.4835364,"highly similar to uniprot|P53972 Saccharomyces cerevisiae YNL022C  Putative cytosine 5-methyltransferase, contains seven beta-strand methyltransferase motif similar to NOP2/YNL061W; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; predicted to be involved in ribosome biogenesis"
SAKL0E07788g,negative,5,629883,631571,1689,42.1,1,YNL039W,BDP1,Sace,9.78519,-0.210017,"similar to uniprot|P46678 Saccharomyces cerevisiae YNL039W BDP1 Essential subunit of RNA polymerase III transcription factor (TFIIIB), which is involved in transcription of genes encoding tRNAs, 5S rRNA, U6 snRNA, and other small RNAs"
SAKL0E07832g,negative,5,632539,633528,990,38.18,1,YIL096C,YIL096C,Sace,10.281315,-0.3526278,similar to uniprot|P40493 Saccharomyces cerevisiae YIL096C  Putative protein of unknown function; associates with precursors of the 60S ribosomal subunit; predicted to be involved in ribosome biogenesis
SAKL0E08030g,negative,5,647588,648871,1284,38.32,-1,YIL103W,DPH1,Sace,10.284234,-0.3487259,"highly similar to uniprot|P40487 Saccharomyces cerevisiae YIL103W DPH1 Protein required, along with Dph2p, Kti11p, Jjj3p, and Dph5p, for synthesis of diphthamide, which is a modified histidine residue of translation elongation factor 2 (Eft1p or Eft2p); may act in a complex with Dph2p and Kti11p"
SAKL0E08052g,negative,5,649040,650512,1473,38.09,1,YIL104C,SHQ1,Sace,9.979446,-0.3323015,"highly similar to uniprot|P40486 Saccharomyces cerevisiae YIL104C SHQ1 Chaperone protein required for the assembly of box H/ACA snoRNPs and thus for pre-rRNA processing, forms a complex with Naf1p and interacts with H/ACA snoRNP components Nhp2p and Cbf5p; homology with known Hsp90p cochaperones"
SAKL0E08338g,negative,5,673639,674754,1116,39.16,-1,YIL110W,HPM1,Sace,10.702088,-0.4983534,similar to uniprot|P40481 Saccharomyces cerevisiae YIL110W HPM1 AdoMet-dependent methyltransferase involved in a novel 3-methylhistidine modification of ribosomal protein Rpl3p; seven beta-strand MTase family member; null mutant exhibits a weak vacuolar protein sorting defect and caspofungin resistance
SAKL0E08624g,negative,5,704578,706413,1836,40.63,-1,YNL061W,NOP2,Sace,12.143336,-0.6352499,"highly similar to uniprot|P40991 Saccharomyces cerevisiae YNL061W NOP2 Probable RNA m(5)C methyltransferase, essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis; localized to the nucleolus; constituent of 66S pre- ribosomal particles"
SAKL0E08646g,negative,5,706739,708157,1419,40.73,1,YNL062C,GCD10,Sace,10.991984,-0.4405708,"similar to uniprot|P41814 Saccharomyces cerevisiae YNL062C GCD10 Subunit of tRNA (1-methyladenosine) methyltransferase with Gcd14p, required for the modification of the adenine at position 58 in tRNAs, especially tRNAi-Met; first identified as a negative regulator of GCN4 expression"
SAKL0E08932g,negative,5,734805,735416,612,39.05,1,YIL127C,RRT14,Sace,10.477014,-0.6003287,similar to uniprot|P40470 Saccharomyces cerevisiae YIL127C RRT14 Putative protein of unknown function; identified in a screen for mutants with decreased levels of rDNA transcription; green fluorescent protein (GFP)- fusion protein localizes to the nucleolus; predicted to be involved in ribosome biogenesis
SAKL0E09064g,negative,5,753817,754793,977,46.6,1,YIL133C,RPL16A,Sace,16.19733,-0.4109678,"highly similar to uniprot|P26784 Saccharomyces cerevisiae YIL133C (ohnolog of YNL069C) RPL16A N- terminally acetylated protein component of the large (60S) ribosomal subunit, binds to 5.8 S rRNA; has similarity to Rpl16Bp, E. coli L13 and rat L13a ribosomal proteins; transcriptionally regulated by Rap1p"
SAKL0E09240g,negative,5,767384,768235,852,41.67,-1,YNL075W,IMP4,Sace,11.065422,-0.7140173,"highly similar to uniprot|P53941 Saccharomyces cerevisiae YNL075W IMP4 Component of the SSU processome, which is required for pre-18S rRNA processing; interacts with Mpp10p; member of a superfamily of proteins that contain a sigma(70)-like motif and associate with RNAs"
SAKL0E09966g,negative,5,832153,833190,1038,43.06,1,YOR091W,TMA46,Sace,11.886938,-0.4692016,highly similar to uniprot|Q12000 Saccharomyces cerevisiae YOR091W TMA46 Protein of unknown function that associates with translating ribosomes; interacts with GTPase Rbg1p
SAKL0E10076g,negative,5,843807,844643,837,45.64,-1,YOR095C,RKI1,Sace,11.660369,-0.2801825,"similar to uniprot|Q12189 Saccharomyces cerevisiae YOR095C RKI1 Ribose-5-phosphate ketol-isomerase, catalyzes the interconversion of ribose 5-phosphate and ribulose 5- phosphate in the pentose phosphate pathway; participates in pyridoxine biosynthesis"
SAKL0E10098g,negative,5,846193,847119,927,42.58,1,YOR096W,RPS7A,Sace,15.968086,-0.4266398,"highly similar to uniprot|P26786 Saccharomyces cerevisiae YOR096W (ohnolog of YNL096C) RPS7A Protein component of the small (40S) ribosomal subunit, nearly identical to Rps7Bp; interacts with Kti11p; deletion causes hypersensitivity to zymocin; has similarity to rat S7 and Xenopus S8 ribosomal proteins"
SAKL0E10384g,negative,5,863203,867615,4413,40.79,-1,YNL102W,POL1,Sace,9.916102,-0.2238607,"similar to uniprot|P13382 Saccharomyces cerevisiae YNL102W POL1 Catalytic subunit of the DNA polymerase I alpha-primase complex, required for the initiation of DNA replication during mitotic DNA synthesis and premeiotic DNA synthesis"
SAKL0E10604g,negative,5,884048,884689,642,41.9,1,YNL110C,NOP15,Sace,11.209672,-0.639303,"similar to uniprot|P53927 Saccharomyces cerevisiae YNL110C NOP15 Constituent of 66S pre-ribosomal particles, involved in 60S ribosomal subunit biogenesis; localizes to both nucleolus and cytoplasm"
SAKL0E10670g,negative,5,888828,891205,2378,46.18,-1,YNL112W,DBP2,Sace,13.283795,-0.6275083,"highly similar to uniprot|P24783 Saccharomyces cerevisiae YNL112W DBP2 Essential ATP-dependent RNA helicase of the DEAD-box protein family, involved in nonsense-mediated mRNA decay and rRNA processing"
SAKL0E10692g,negative,5,891636,892031,396,40.4,-1,YNL113W,RPC19,Sace,11.064461,-0.7068,"highly similar to uniprot|P28000 Saccharomyces cerevisiae YNL113W RPC19 RNA polymerase subunit AC19, common to RNA polymerases I and III"
SAKL0E10912g,negative,5,912653,914068,1416,37.29,-1,YNL119W,NCS2,Sace,9.623401,-0.5382299,similar to uniprot|P53923 Saccharomyces cerevisiae YNL119W NCS2 Protein required for thiolation of the uridine at the wobble position of Lys(UUU) and Glu(UUC) tRNAs; has a role in urmylation and in invasive and pseudohyphal growth; inhibits replication of Brome mosaic virus in S. cerevisiae
SAKL0E11088g,negative,5,931726,933270,1545,41.36,-1,YNL124W,NAF1,Sace,9.927753,-0.4126161,"similar to uniprot|P53919 Saccharomyces cerevisiae YNL124W NAF1 RNA-binding protein required for the assembly of box H/ACA snoRNPs and thus for pre-rRNA processing, forms a complex with Shq1p and interacts with H/ACA snoRNP components Nhp2p and Cbf5p; similar to Gar1p"
SAKL0E11308g,negative,5,947649,950816,3168,39.9,-1,YNL132W,KRE33,Sace,11.973686,-0.6410098,"highly similar to uniprot|P53914 Saccharomyces cerevisiae YNL132W KRE33 Essential protein, required for biogenesis of the small ribosomal subunit; heterozygous mutant shows haploinsufficiency in K1 killer toxin resistance"
SAKL0E11682g,negative,5,978760,979470,711,42.76,-1,YNL151C,RPC31,Sace,9.972836,-0.3717659,similar to uniprot|P17890 Saccharomyces cerevisiae YNL151C RPC31 RNA polymerase III subunit C31
SAKL0E11792g,negative,5,983424,984074,651,39.78,1,YHR128W,FUR1,Sace,10.842599,-0.2337752,"highly similar to uniprot|P18562 Saccharomyces cerevisiae YHR128W FUR1 Uracil phosphoribosyltransferase, synthesizes UMP from uracil; involved in the pyrimidine salvage pathway"
SAKL0E11836g,negative,5,985552,987417,1866,40.25,-1,Con_hy_pr146,Con_hy_pr146,Lath,11.136168,-0.2225704,highly similar to uniprot|C5DCU8 Lachancea thermotolerans KLTH0B05962g hypothetical protein
SAKL0E12122g,negative,5,1006095,1007162,1068,44.38,1,YNL141W,AAH1,Sace,13.227953,-0.6506774,"similar to uniprot|P53909 Saccharomyces cerevisiae YNL141W AAH1 Adenine deaminase (adenine aminohydrolase), converts adenine to hypoxanthine; involved in purine salvage; transcriptionally regulated by nutrient levels and growth phase; Aah1p degraded upon entry into quiescence via SCF and the proteasome"
